27.0,62.4,41514,0.0,435.8333,22000,41514
27.0,62.4,42250,0.0,434.9999,22000,42250
27.1,62.4,39977,11.22469,434.1667,22000,42250
27.1,62.4,40489,8.696297,433.3333,22000,42250
27.1,62.4,51772,0.0,432.5,22000,51772
27.1,62.4,42410,31.44566,432.5,22000,51772
27.1,62.4,40121,39.13409,431.6667,22000,51772
27.1,62.4,41226,35.42255,430.8333,22000,51772
27.1,62.4,42778,30.2096,429.1667,22000,51772
27.1,62.3,43530,27.68373,428.3333,22000,51772
27.1,62.3,42282,31.87559,427.5,22000,51772
27.1,62.3,41770,33.59532,426.6666,22000,51772
27.1,62.3,43018,29.40347,424.1666,22000,51772
27.2,62.3,40185,38.91912,422.4999,22000,51772
27.1,62.3,41466,34.61642,420.0,22000,51772
27.1,62.3,43866,26.55515,418.3333,22000,51772
27.2,62.3,43354,28.27489,417.5,22000,51772
27.2,62.2,39737,40.42389,415.8333,22000,51772
27.2,62.3,43530,27.68373,414.1666,22000,51772
27.2,62.3,40953,36.33952,412.5,22000,51772
27.2,62.2,43690,27.14631,410.8333,22000,51772
27.2,62.2,42234,32.03681,408.3333,22000,51772
27.2,62.2,39609,40.85382,406.6667,22000,51772
27.2,62.2,41226,35.42255,406.6667,22000,51772
27.2,62.2,40233,38.75789,405.8333,22000,51772
27.2,62.2,40377,38.27422,404.1667,22000,51772
27.2,62.2,41146,35.69125,403.3333,22000,51772
27.2,62.2,39977,39.61776,402.5,22000,51772
27.2,62.2,39769,40.31641,400.8333,22000,51772
27.2,62.2,41690,33.86404,400.8333,22000,51772
27.2,62.2,53068,0.0,399.1667,22000,53068
27.2,62.2,39433,43.88761,398.3333,22000,53068
27.2,62.2,39897,42.3941,399.1667,22000,53068
27.2,62.2,42202,34.97489,398.3333,22000,53068
27.2,62.2,40201,41.41561,396.6666,22000,53068
27.2,62.2,43434,31.0094,396.6666,22000,53068
27.2,62.10001,48571,14.4747,395.0,22000,53068
27.2,62.10001,40201,41.41561,394.1666,22000,53068
27.2,62.2,40025,41.9821,393.3333,22000,53068
27.2,62.2,40473,40.5401,392.5,22000,53068
27.2,62.10001,50812,7.26149,390.8333,22000,53068
27.2,62.10001,43114,32.0394,390.0,22000,53068
27.2,62.10001,40441,40.64311,390.0,22000,53068
27.2,62.10001,41258,38.01339,388.3333,22000,53068
27.2,62.10001,50364,8.703491,388.3333,22000,53068
27.2,62.10001,43882,29.56741,387.5,22000,53068
27.2,62.10001,43690,30.1854,386.6667,22000,53068
27.2,62.10001,39769,42.8061,385.8333,22000,53068
27.2,62.10001,43562,30.5974,385.0,22000,53068
27.2,62.10001,39673,43.11511,383.3333,22000,53068
27.2,62.10001,42154,35.12939,381.6666,22000,53068
27.2,62.10001,42906,32.70889,380.8333,22000,53068
27.2,62.10001,43642,30.3399,380.8333,22000,53068
27.2,62.10001,42474,34.0994,380.8333,22000,53068
27.2,62.10001,41594,36.93189,382.5,22000,53068
27.2,62.10001,43322,31.3699,379.1667,22000,53068
27.2,62.10001,43306,31.4214,380.0,22000,53068
